section_id,count,distance,latitude,longitude
79,133.0,86.39943707469551,51.976323,5.646341
311,108.0,0.02642624247633851,51.9969877,4.3851357
14,80.5,12.820535323148695,51.968246,4.20368
2,62.0,,,
132,56.0,880.5657211485576,44.789807,-0.574403
27,43.0,9.545883266747595,52.004448,4.246188
179,37.5,11.407114715401827,51.98691,4.21924
1,31.0,13.117986412059869,52.013347,4.195333
57,27.0,15.649966111388949,52.036071,4.604654
120,25.7,13.11798641205977,52.013346999999996,4.195333
35,24.0,9.00153858572339,51.985481,4.254887
72,22.0,53.28673605565339,51.81110600000001,5.101138
30,16.0,8.936802676074368,52.020934,4.2605495
32,14.0,2.274590632351167,52.014014,4.402903
176,14.0,13.79903690349092,51.96330966017325,4.191045366672935
21,12.0,14.326243047985136,52.037573,4.583634
49,11.0,96.56432048695346,52.7662665,5.0445115000000005
212,10.5,475.7419084998549,48.8935611,9.01405355
119,10.285714285714285,13.117808010561854,52.013250985714286,4.195313742857143
124,10.0,98.64456205365529,51.1505046,4.8134146
177,10.0,97.75626773333634,52.7216659,5.1995501
285,9.0,8.45371574927546,51.9956901,4.2616049
294,9.0,0.022567563391742106,51.996948,4.3851639
263,8.5,13.03692504756865,51.9765037,4.197551499999999
118,8.333333333333332,13.657035615111448,52.00164733333333,4.185737333333333
83,8.0,,,6.194058
295,8.0,0.022403162924571406,51.996945,4.3851714
199,7.25,14.553880395106708,52.02927891,4.59105493
197,7.0,3.1231821110216367,52.020362,4.40979
174,7.0,1016.3574288481851,47.7228126,16.9480328
304,6.0,14.649953927672776,52.0541538,4.5777993
101,5.0,,,
346,5.0,5.423334609426887,52.0395125,4.4231946
321,5.0,2.39326042655481,52.0161397,4.4002584
106,5.0,39.24921885711201,52.208187,4.845218
18,4.75,10.165401594799134,51.99118145,4.2368751499999995
331,4.0,15.089520028024141,52.0146552,4.1665489
76,4.0,9.868571828882697,51.96148296921063,4.2528493358008355
148,3.75,475.8464326467304,48.893623225,9.0163057
188,3.3333333333333335,108.698206324059,52.8230332,5.241434
326,3.0,12.34360287853132,52.0122269,4.2065035
323,3.0,14.498187609860254,52.01978,4.59356
74,3.0,86.39943707469551,51.976323,5.646341
183,3.0,6.542343311994397,52.04923,4.42831
302,3.0,14.264874817408108,52.0505408,4.5743428
22,2.666666666666667,2.749580575854964,52.01592086666667,4.4104483
291,2.5,65.22326702182887,51.85577,5.30837
87,2.5,59.203538060695344,51.798121,5.185617
284,2.0,8.453091560870286,51.9958138,4.2616112
115,2.0,36.23132764659684,52.229035,4.757164
235,2.0,0.022913499930527242,51.9969513,4.3851636
286,2.0,0.02661799834981012,51.9969834,4.3851781
196,1.5555555555555554,1.8931861594346804,52.00516264444444,4.409115911111112
164,1.5,20.076957744908793,51.8743292,4.1698162
13,1.5,14.71736681789526,52.03073825,4.5929081
23,1.0,10.885965153249197,51.9882476,4.2266814
137,1.0,9.067494327495433,52.019072,4.512487
335,1.0,100.99104470056544,52.764955,5.178865
305,1.0,24.435474617224546,52.21314,4.44746
185,1.0,1039.8315340891197,42.70519,2.8179
154,1.0,2.140301448215437,52.0061227,4.4123807
36,0.8333333333333333,20.19955052950027,51.8963280453436,4.13948685297206
213,0.75,103.8869357893182,51.92703795,5.897098025
3,0.5,87.81381321093755,51.986450000000005,5.6674679999999995
51,0.5,6301.169521723867,0.529943,32.662965
41,0.5,101.6360001090224,51.532085,5.656902
135,0.5,61.1396439538109,51.828657,5.233754
40,0.5,552.3854215803478,47.48038,7.590986
203,0.5,,,
43,0.2,9.064802032629391,52.022884999999995,4.510523
150,0.0,64.61472726228271,51.450497899999995,4.705002266666667
143,0.0,,,
142,0.0,99.3691614378409,52.7970341,5.0368557
136,0.0,67.01787801239193,51.45797,3.948956
139,0.0,85.13252260657762,52.7106810342418,4.83784879927508
131,0.0,85.13252260657762,52.7106810342418,4.83784879927508
134,0.0,7.463078548191969,51.973946,4.282574
121,0.0,8.782277706937336,52.0013199213661,4.25700030112523
127,0.0,67.12473065671834,51.45753,3.946916
125,0.0,13.117986412059869,52.013347,4.195333
96,0.0,91.98026905670672,52.427165573438295,5.537950160526593
113,0.0,12.67728154885581,51.952442,4.214543
112,0.0,3293.05449290127,32.386381,35.034207
111,0.0,,,
117,0.0,8.572180934208474,51.996506,4.259862
92,0.0,8.403557506250516,51.981007,4.265039
89,0.0,128.64700789833734,52.503777,6.083786
103,0.0,,,
109,0.0,16.73736826369786,51.992061,4.140729
95,0.0,89.71792542719383,51.19213475,4.28848405
33,0.0,5.629182775205625,52.014983,4.461791
34,0.0,1780.6721377194,36.7906534,-2.7273083
29,0.0,133.72554729966632,51.341985,6.011652
38,0.0,67.12473065671834,51.45753,3.946916
60,0.0,2.0241986170234103,52.010795,4.403889
58,0.0,10.227149324087792,52.02447585,4.5275476
48,0.0,11.001648019877244,51.947402,4.24587
63,0.0,86.46274155583535,51.976468,5.647274
73,0.0,6412.901218587153,1.144869,36.913688
81,0.0,125.49776469691993,52.580198,5.964585
88,0.0,534.572119425402,51.182274,12.015
153,0.0,13.307927270516771,51.947801,4.2077897
232,0.0,225.26486166624932,51.3533927,1.2869836
230,0.0,1389.0648162953614,56.8836656,24.2615209
229,0.0,1009.7333671989928,49.9150317,18.4425233
218,0.0,1687.2366676476634,36.88156,2.49938
223,0.0,1780.8617112428026,36.7891365,-2.7284246
217,0.0,24.955892000038833,52.1639321,4.6287243
214,0.0,24.905186104416487,52.1641184,4.6272708
201,0.0,1.876863387051225,52.0052384,4.4087702
206,0.0,,,
205,0.0,,,
162,0.0,67.19878515881315,51.4573281,3.9451752
157,0.0,5988.375805822357,43.2182037,-79.1854539
156,0.0,7.687348397601418,52.0119251,4.2755037
195,0.0,2.279455331832954,52.008007,4.412902
190,0.0,20.663123844640474,51.870592,4.1637849
233,0.0,852.4637721313235,44.3331564,4.6964455
303,0.0,14.305382371184967,52.0540133,4.5723017
293,0.0,144.84905466507334,51.413892849999996,6.2650698
301,0.0,374.3220243130151,50.89395,-0.71957
276,0.0,5.469327224959376,52.0218537,4.4537909
237,0.0,676.5580538123406,47.2312335,-1.4634558
287,0.0,140.01006241471288,51.43345,6.20272
297,0.0,6.202402996399499,52.04794,4.42109
309,0.0,144.92622749102625,51.412771,6.2653927
310,0.0,8.957949403053124,52.0130715,4.5132233
338,0.0,10.768804620736406,52.0328922,4.5310597
337,0.0,10.759697576570138,52.0328883,4.5309188
339,0.0,10.775839953952973,52.0328295,4.5312113
340,0.0,10.772319320947624,52.0327876,4.5311831
341,0.0,10.793631538844119,52.0328501,4.531478
342,0.0,10.78588218483327,52.0327905,4.5313947
